ride_id,client_id,driver_id,trip_duration,traffic_issues
1,55,242,55,False
2,416,45,36,True
3,7,132,58,False
4,699,147,41,True
5,235,46,5,True
6,346,7,59,False
7,88,317,54,True
8,538,45,53,False
9,896,51,46,True
10,319,333,18,False
11,327,276,55,False
12,861,209,22,True
13,906,19,54,False
14,573,364,13,False
15,778,396,45,True
16,710,177,18,False
17,595,141,29,False
18,411,217,6,True
19,661,212,53,False
20,464,389,55,True
21,507,138,34,False
22,36,373,55,True
23,455,29,22,True
24,311,229,5,False
25,501,7,29,False
26,352,163,6,True
27,620,123,30,False
28,173,236,27,False
29,281,345,16,False
30,1000,200,45,True
31,685,310,26,True
32,878,278,5,False
33,64,49,27,True
34,99,380,17,True
35,338,182,5,True
36,164,184,47,True
37,799,359,33,False
38,977,176,18,False
39,360,225,10,True
40,341,121,45,True
41,205,162,17,False
42,179,274,27,True
43,50,267,17,False
44,717,114,17,True
45,101,174,7,True
46,503,342,58,False
47,384,282,28,False
48,347,318,9,True
49,136,289,43,False
50,627,48,55,True
51,579,44,44,True
52,99,367,40,False
53,382,100,46,False
54,423,280,14,True
55,569,67,47,False
56,712,20,53,False
57,640,70,49,True
58,571,54,25,True
59,18,171,50,False
60,20,80,6,False
61,112,158,24,True
62,690,297,47,False
63,487,105,9,False
64,467,228,60,False
65,842,156,28,False
66,357,121,30,True
67,656,150,33,True
68,312,316,18,True
69,764,99,10,False
70,276,74,58,False
71,503,145,28,False
72,937,313,52,True
73,57,376,52,True
74,215,71,50,True
75,448,183,42,False
76,481,271,26,True
77,164,386,23,True
78,907,177,56,False
79,748,178,18,False
80,409,220,21,False
81,485,366,56,False
82,797,363,29,False
83,578,317,20,True
84,583,287,20,True
85,893,354,48,False
86,173,62,6,True
87,736,106,55,False
88,91,219,45,True
89,618,49,59,True
90,331,203,29,False
91,955,316,56,True
92,650,150,58,True
93,563,86,58,False
94,383,142,38,False
95,912,13,28,False
96,756,3,8,False
97,662,81,43,False
98,280,231,27,True
99,638,332,35,False
100,468,135,10,False
101,885,329,22,True
102,558,52,38,False
103,970,349,35,False
104,958,151,46,False
105,87,6,14,False
106,170,27,17,False
107,507,359,16,False
108,533,216,59,False
109,967,385,49,True
110,458,396,28,False
111,721,138,16,False
112,404,75,15,True
113,70,335,8,False
114,914,219,21,False
115,832,250,41,False
116,634,349,19,False
117,329,346,16,False
118,893,274,13,True
119,486,335,34,False
120,110,266,53,True
121,770,116,38,False
122,450,307,49,False
123,308,118,15,False
124,11,29,50,False
125,142,225,31,False
126,313,6,34,True
127,398,203,37,False
128,321,181,10,False
129,3,237,60,False
130,734,174,47,False
131,797,315,45,True
132,383,345,6,False
133,455,239,41,False
134,131,34,11,True
135,694,306,25,True
136,63,230,48,True
137,570,396,17,False
138,906,284,12,True
139,595,84,17,False
140,226,313,7,False
141,691,197,24,True
142,593,174,54,True
143,62,255,14,True
144,554,202,49,True
145,729,101,59,False
146,356,165,41,False
147,745,258,44,False
148,565,170,29,False
149,915,209,5,True
150,58,134,53,False
151,660,219,59,False
152,40,215,46,False
153,539,315,32,True
154,933,357,28,True
155,64,155,55,True
156,957,155,19,True
157,787,73,30,False
158,260,137,19,True
159,917,32,29,False
160,176,67,22,False
161,9,112,8,True
162,159,174,13,False
163,344,327,26,True
164,94,382,26,False
165,464,25,39,True
166,853,338,52,True
167,187,131,28,True
168,765,288,20,False
169,189,383,21,False
170,397,3,11,True
171,760,346,51,True
172,147,205,21,False
173,251,84,14,True
174,386,140,25,True
175,631,200,15,False
176,55,280,55,False
177,960,112,48,False
178,491,209,39,False
179,494,205,29,False
180,260,104,36,False
181,287,258,23,True
182,97,250,18,False
183,742,388,49,True
184,515,219,14,True
185,450,92,58,True
186,884,191,17,True
187,714,252,32,True
188,176,395,58,True
189,32,286,24,False
190,531,386,20,True
191,852,46,40,True
192,239,279,38,True
193,19,125,34,True
194,150,327,31,False
195,897,191,18,True
196,89,145,29,False
197,67,335,54,False
198,579,12,39,False
199,946,72,30,True
200,72,218,18,False
201,436,88,43,False
202,214,315,6,False
203,534,93,47,False
204,869,294,50,False
205,276,308,8,False
206,91,183,5,True
207,117,105,6,True
208,145,86,7,False
209,521,179,40,True
210,280,54,19,True
211,112,81,17,True
212,539,351,30,True
213,845,42,32,True
214,799,214,34,False
215,921,148,37,True
216,473,95,6,False
217,546,338,49,False
218,15,127,27,True
219,864,278,27,True
220,588,247,7,True
221,535,223,41,False
222,83,283,47,False
223,886,137,50,True
224,934,373,10,True
225,817,150,38,True
226,727,301,39,True
227,641,249,43,False
228,535,317,49,False
229,863,86,32,False
230,642,321,38,False
231,607,355,33,False
232,872,227,12,False
233,379,96,35,True
234,935,52,42,True
235,459,126,49,True
236,795,335,47,False
237,123,37,45,False
238,865,221,55,True
239,773,261,8,True
240,915,342,10,True
241,971,58,34,False
242,458,113,6,False
243,267,387,47,True
244,54,15,36,False
245,879,174,52,False
246,460,381,56,True
247,801,168,38,True
248,81,270,10,False
249,18,128,24,True
250,735,3,17,False
251,255,321,47,False
252,395,171,37,True
253,212,326,34,False
254,566,386,43,True
255,132,91,36,False
256,516,57,56,False
257,791,51,11,True
258,622,194,42,False
259,626,75,37,False
260,285,53,44,False
261,783,89,40,True
262,135,282,24,True
263,501,305,28,True
264,807,322,27,True
265,690,221,38,False
266,13,224,17,True
267,431,142,16,False
268,43,359,11,True
269,785,308,28,False
270,369,287,23,False
271,94,165,38,False
272,483,135,11,True
273,24,197,25,True
274,131,192,30,False
275,675,220,27,True
276,619,51,7,True
277,168,162,56,False
278,437,65,60,False
279,714,38,37,False
280,920,61,33,True
281,993,89,35,True
282,267,38,25,False
283,219,125,60,True
284,381,194,14,False
285,791,308,29,True
286,597,174,34,False
287,298,37,33,True
288,967,304,9,False
289,683,104,35,False
290,543,384,32,True
291,522,128,46,True
292,143,60,37,False
293,531,331,16,False
294,159,371,20,True
295,779,219,36,False
296,940,293,39,True
297,320,8,29,True
298,61,267,12,True
299,435,278,55,True
300,698,143,52,True
301,221,333,55,False
302,940,239,8,True
303,902,280,58,True
304,9,106,37,False
305,427,37,23,True
306,231,74,21,False
307,166,109,59,True
308,704,112,57,True
309,972,136,58,True
310,972,294,19,True
311,547,369,7,False
312,350,172,51,False
313,950,24,51,True
314,752,260,39,True
315,126,367,11,True
316,396,145,60,False
317,94,21,49,False
318,173,32,14,True
319,623,151,9,True
320,567,73,30,False
321,69,195,30,False
322,456,103,15,False
323,473,310,11,False
324,117,147,10,False
325,502,38,40,False
326,56,302,53,False
327,517,248,49,False
328,84,387,5,True
329,197,26,27,True
330,637,262,55,False
331,33,24,52,False
332,378,325,6,False
333,696,6,36,True
334,593,112,8,False
335,308,307,8,False
336,75,84,33,False
337,239,242,57,False
338,907,274,8,False
339,8,330,10,False
340,673,220,24,False
341,926,324,10,False
342,591,344,40,False
343,834,12,16,False
344,292,341,54,True
345,108,312,22,True
346,574,230,51,True
347,702,131,12,True
348,803,232,22,False
349,759,302,36,True
350,547,153,46,False
351,69,134,50,False
352,101,377,22,False
353,452,223,22,True
354,986,259,21,True
355,521,39,16,True
356,340,240,13,False
357,567,366,46,False
358,382,63,45,False
359,219,98,38,False
360,12,204,28,True
361,321,274,38,False
362,274,377,11,False
363,150,70,53,True
364,89,393,21,False
365,408,210,7,False
366,311,330,22,True
367,607,391,8,False
368,800,191,60,False
369,70,23,13,True
370,474,53,23,True
371,211,199,6,True
372,241,192,24,False
373,699,172,52,True
374,131,343,40,False
375,173,63,28,False
376,350,214,31,False
377,518,105,30,False
378,887,20,19,True
379,142,276,47,True
380,443,318,6,True
381,500,374,44,True
382,750,166,6,True
383,534,54,18,False
384,339,291,20,False
385,512,342,22,True
386,377,145,44,True
387,721,306,54,True
388,911,313,20,False
389,971,67,60,False
390,360,153,59,False
391,453,239,46,True
392,324,325,14,False
393,141,64,56,False
394,314,156,55,False
395,434,236,52,False
396,883,247,19,False
397,411,318,40,False
398,949,203,55,True
399,641,280,55,False
400,331,49,56,True
401,944,158,30,True
402,536,190,47,True
403,716,5,29,False
404,172,377,58,True
405,877,273,16,True
406,794,53,45,False
407,351,165,26,False
408,773,33,34,True
409,516,357,12,False
410,251,148,48,True
411,625,313,50,True
412,216,208,56,False
413,929,38,49,False
414,409,31,17,True
415,453,139,21,False
416,183,5,31,True
417,117,244,10,True
418,15,33,5,True
419,403,14,46,False
420,707,264,13,False
421,276,211,44,False
422,829,225,51,False
423,500,290,32,False
424,487,182,26,False
425,396,400,35,True
426,822,286,13,False
427,862,227,54,True
428,962,214,54,True
429,786,283,22,False
430,560,111,40,False
431,449,183,43,False
432,621,161,26,False
433,247,35,60,False
434,451,338,14,False
435,135,74,14,False
436,654,124,5,True
437,165,133,17,False
438,493,313,53,True
439,567,253,10,False
440,819,198,46,False
441,736,104,55,False
442,32,313,17,True
443,4,22,22,True
444,178,170,38,True
445,777,126,19,False
446,459,354,52,False
447,802,242,28,False
448,354,373,37,True
449,928,361,49,False
450,478,281,44,True
451,534,222,10,True
452,142,100,27,True
453,862,326,33,True
454,90,27,49,False
455,15,178,60,False
456,779,369,27,False
457,707,219,21,False
458,721,343,58,True
459,160,335,28,True
460,20,167,29,False
461,569,21,18,True
462,695,183,8,True
463,958,95,7,True
464,823,355,10,False
465,506,250,31,True
466,128,39,11,False
467,939,37,29,False
468,118,400,46,False
469,716,167,52,False
470,696,351,14,False
471,560,229,35,False
472,879,322,37,True
473,575,210,7,True
474,436,82,36,False
475,191,317,60,True
476,145,150,33,False
477,19,153,13,False
478,253,397,39,True
479,439,15,11,True
480,721,198,8,True
481,280,399,37,True
482,298,267,57,True
483,574,384,36,True
484,440,109,60,True
485,697,393,58,True
486,914,321,17,True
487,464,276,5,True
488,999,202,27,True
489,283,50,7,True
490,444,97,54,False
491,514,248,18,True
492,743,278,44,False
493,446,13,7,True
494,452,213,27,False
495,667,340,35,True
496,568,113,46,False
497,81,124,58,False
498,913,10,16,False
499,301,80,7,False
500,616,311,21,True
